Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_LEA,Geo_SCHOOL,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,SE_T002_006,SE_T002_007,SE_T002_008,SE_T002_009
"01","Alabama","Alabama","00","01",,,742444,404730,243723,10786,58804,6934,840,16627,18.6707116104869
"02","Alaska","Alaska","00","02",,,132872,63227,3866,7785,8868,30415,3914,14797,18.0347222222222
"04","Arizona","Arizona","00","04",,,1106694,422520,59404,32028,503487,49823,4021,34469,19.5002136752137
"05","Arkansas","Arkansas","00","05",,,496085,301789,101375,8074,64861,3143,4014,12829,13.6183018867925
"06","California","California","00","06",,,6206088,1437356,337891,719671,3366937,32337,28798,273093,22.9345330250327
"08","Colorado","Colorado","00","08",,,910097,486403,41661,28942,306359,6447,2290,37995,18.7340233545647
"09","Connecticut","Connecticut","00","09",,,519710,280407,65686,27001,127615,1370,640,16991,16.7627069133398
"10","Delaware","Delaware","00","10",,,136046,60112,41155,5271,23707,531,182,5088,15.0477064220183
"11","District of Columbia","District of Columbia","00","11",,,86360,9649,59043,1371,14158,132,76,1931,16.0227678571428
"12","Florida","Florida","00","12",,,2833093,1077901,626557,77817,938240,8501,4744,99333,17.1939402173913
"13","Georgia","Georgia","00","13",,,1768642,701424,648917,72392,275991,3440,1839,64639,15.2219683655536
"15","Hawaii","Hawaii","00","15",,,180837,22088,3103,51712,25721,443,51721,26049,15.1267123287671
"16","Idaho","Idaho","00","16",,,301186,227185,3245,3720,54546,3445,962,8083,17.3210164835165
"17","Illinois","Illinois","00","17",,,1992313,956547,334717,101316,522393,5552,2080,69708,15.6889026198714
"18","Indiana","Indiana","00","18",,,1053857,715625,132831,25475,125674,2103,804,51345,17.4509940891993
"19","Iowa","Iowa","00","19",,,502878,381678,30882,12683,54444,1805,1350,20036,15.2128321943812
"20","Kansas","Kansas","00","20",,,491481,315772,33739,13924,96486,4200,937,25576,14.2693486590038
"21","Kentucky","Kentucky","00","21",,,680978,523010,71831,12135,45801,839,850,26512,16.7552098408104
"22","Louisiana","Louisiana","00","22",,,715135,319584,311705,11353,49529,4682,549,17733,17.6142645971914
"23","Maine","Maine","00","23",,,175324,156555,6452,2616,3942,1137,196,4426,11.8054481546573
"24","Maryland","Maryland","00","24",,,893684,333552,301537,58823,155346,2387,1300,40739,14.8837681159421
"25","Massachusetts","Massachusetts","00","25",,,953873,573083,86292,65657,191117,2101,814,34592,20.2864879649891
"26","Michigan","Michigan","00","26",,,1472090,978256,261228,49832,114895,9227,1273,57379,23.7021546635183
"27","Minnesota","Minnesota","00","27",,,884944,588238,97669,60101,82283,14212,697,41744,15.0787764705882
"28","Mississippi","Mississippi","00","28",,,478321,211367,232152,5156,17920,1168,306,10252,15.6468888888889
"29","Missouri","Missouri","00","29",,,910386,646610,145172,18347,58485,3422,2444,35906,13.0983736263736
"30","Montana","Montana","00","30",,,146657,115424,1264,1120,6836,16315,335,5362,11.318482252142
"31","Nebraska","Nebraska","00","31",,,323766,215236,21654,8959,60839,4378,450,12250,13.2422731804586
"32","Nevada","Nevada","00","32",,,485551,157594,53847,26671,205973,4296,6873,30297,20.4589147286822
"33","New Hampshire","New Hampshire","00","33",,,178308,152374,3592,5931,9948,465,166,5832,11.8979338842975
"34","New Jersey","New Jersey","00","34",,,1370676,605462,205595,139835,388009,1766,2908,27101,12.6233913395387
"35","New Mexico","New Mexico","00","35",,,334188,77686,6431,3833,206118,33379,465,6276,15.3286214953271
"36","New York","New York","00","36",,,2697340,1167330,462099,250784,726968,18915,6859,64385,13.1668059327345
"37","North Carolina","North Carolina","00","37",,,1553513,749543,393642,51709,271320,19036,2148,66115,15.3934749620637
"38","North Dakota","North Dakota","00","38",,,111757,86462,5513,1771,5527,9446,306,2732,11.0533472803347
"39","Ohio","Ohio","00","39",,,1702623,1190916,282339,40793,97213,2102,1401,87859,19.1925282363162
"40","Oklahoma","Oklahoma","00","40",,,695092,339563,59876,14096,119766,94443,2488,64860,17.1828939988783
"41","Oregon","Oregon","00","41",,,572470,357315,13032,23097,132201,7544,4187,35094,19.177554304103
"42","Pennsylvania","Pennsylvania","00","42",,,1706697,1125759,248020,67005,194849,2614,1445,67005,14.7039848849193
"44","Rhode Island","Rhode Island","00","44",,,141448,81512,12151,4687,35924,1047,246,5881,13.7516233766234
"45","South Carolina","South Carolina","00","45",,,777366,394694,261314,12351,73628,2540,1050,31684,14.8829611248966
"46","South Dakota","South Dakota","00","46",,,137298,101467,4411,2450,8185,15173,153,5459,12.8622641509434
"47","Tennessee","Tennessee","00","47",,,1001967,629502,219426,19811,103177,1649,1096,27306,15.7349241998877
"48","Texas","Texas","00","48",,,5401341,1504977,681267,235515,2828492,20592,8027,122471,17.5150316827036
"49","Utah","Utah","00","49",,,668274,497368,9533,11362,114573,7117,10518,17800,
"50","Vermont","Vermont","00","50",,,84348,75921,1770,1741,1735,127,58,2996,12.0118644067797
"51","Virginia","Virginia","00","51",,,1291462,632096,288956,90299,203071,3485,2045,71510,15.105597416577
"53","Washington","Washington","00","53",,,1110367,603896,48441,85396,257984,13554,12141,88955,18.4936062557498
"54","West Virginia","West Virginia","00","54",,,272266,245227,11653,1812,4821,251,117,8379,14.4596992481203
"55","Wisconsin","Wisconsin","00","55",,,860752,601240,79006,34180,103431,9637,667,32569,17.7609241812472
"56","Wyoming","Wyoming","00","56",,,94258,73420,1047,768,12945,3467,136,2475,11.389010989011
